"company","product_type","product_name","product_description","insurance_type"
"Syarikat Takaful","Life","M-Zahra Invest Prime Takaful","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra Income Takaful","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra Income Plus Takaful","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra Flexi Takaful","","Family Takaful"
"Syarikat Takaful","Life","Takaful myMediValue","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra First Takaful","","Family Takaful"
"Syarikat Takaful","Home","Takaful myHome Content","","General Takaful"
"Syarikat Takaful","Motor","Takaful myMotor","","General Takaful"
"Syarikat Takaful","H&P","Takaful myPA Care","","General Takaful"
"","Scraped at",":","2024-07-26 17:20 +08",""
